track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",91,218423,False,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,"indie pop, springfield mo indie"
0LZy30mVmxqUpdQmaXKXBd,"Myke Towers, Bad Bunny",ADIVINO,ADIVINO,90,278644,True,0.786,0.854,10,-2.4,0,0.0741,0.169,2.39e-05,0.106,0.522,117.994,4,"reggaeton, trap latino, urbano latino"
5og4Qzt92jJzVDkOtSEilb,Taylor Swift,THE TORTURED POETS DEPARTMENT,But Daddy I Love Him,84,340428,True,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,4,pop
3lMzT16MjAKKXF7pSZn13B,Lay Bankz,Tell Ur Girlfriend,Tell Ur Girlfriend,91,124444,True,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,4,jersey club
2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,THE TORTURED POETS DEPARTMENT,My Boy Only Breaks His Favorite Toys,85,203801,False,0.596,0.563,0,-7.362,1,0.0269,0.137,0.0,0.302,0.481,97.073,4,pop
3vkCueOmm7xQDoJ17W1Pm3,Mitski,The Land Is Inhospitable and So Are We,My Love Mine All Mine,93,137773,False,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4,"brooklyn indie, pov: indie"
3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,90,208211,False,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3,"indie folk, stomp and holler"
4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar,meet the grahams,meet the grahams,86,392138,True,0.479,0.802,5,-6.252,1,0.309,0.55,0.00045,0.11,0.602,74.98,4,"conscious hip hop, hip hop, rap, west coast rap"
28drn6tQo95MRvO0jQEo5C,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,Type Shit,91,228266,True,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,4,"atl hip hop, hip hop, rap, southern hip hop, trap"
1wFFFzJ5EsKbBWZriAcubN,Drake,Family Matters,Family Matters,88,456933,True,0.527,0.492,1,-9.774,1,0.279,0.0047,0.0,0.306,0.234,164.005,4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
2v1ivOOsgn64g5OywuH55L,Taylor Swift,THE TORTURED POETS DEPARTMENT,The Smallest Man Who Ever Lived,80,245541,True,0.426,0.41,10,-9.083,1,0.0581,0.52,0.0,0.338,0.263,142.377,1,pop
